Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Quartile Range,Usage_Category
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",7.4,5.2,10.3,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",6.5,4.9,8.5,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.0,6.0,10.3,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",11.6,8.0,15.9,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.8,7.2,13.0,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",12.4,8.5,17.4,11.7-17.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",11.3,9.3,13.5,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.8,6.7,11.2,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",6.6,4.0,10.1,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",11.4,8.3,15.1,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.5,6.3,11.3,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.5,11.6,15.6,11.7-17.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.5,7.7,11.7,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",10.6,8.1,13.6,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",7.0,5.2,9.1,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.8,6.3,11.7,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.4,6.5,13.1,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.8,6.9,11.1,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.4,7.7,11.3,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",17.2,13.2,21.9,11.7-17.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.5,7.5,11.9,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",10.1,8.3,12.2,9.8-11.6,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",7.3,4.6,10.9,4.1-8.5,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.8,7.0,11.0,8.6-9.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",8.6,6.1,11.6,8.6-9.7,Low
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",25.2,24.5,25.9,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.9,22.6,27.4,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.7,26.3,29.2,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.0,24.6,27.5,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.5,24.8,28.3,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",23.8,22.5,25.1,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",21.0,19.3,22.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.0,16.8,27.9,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",18.8,17.9,19.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",31.0,30.2,31.8,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",15.0,14.4,15.6,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",39.1,37.7,40.4,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",21.1,19.0,23.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.5,26.7,28.4,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",20.5,18.2,22.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",12.4,10.2,14.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",30.7,27.0,34.6,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.9,18.9,27.2,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.7,21.3,24.2,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.2,26.2,28.2,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.1,25.3,26.9,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.6,23.0,32.6,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",23.0,19.5,26.7,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",23.4,20.3,26.7,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.7,24.2,33.6,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",23.4,21.3,25.6,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.4,22.1,26.8,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.2,23.3,31.3,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.2,19.7,29.2,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",29.0,23.3,35.1,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.6,19.7,25.7,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.6,20.8,28.7,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",16.7,12.6,21.4,16.7-24.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.0,24.3,31.9,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.2,21.0,27.7,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.2,22.8,29.8,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",30.3,25.6,35.3,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",25.8,22.1,29.9,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",30.8,25.8,36.1,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",36.3,29.4,43.6,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",31.6,26.5,37.0,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.0,21.1,27.1,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",29.3,24.6,34.5,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.9,24.1,31.9,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.0,24.6,31.5,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.7,21.8,32.0,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.3,24.2,32.8,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",30.3,25.9,34.9,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.1,22.8,31.9,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",18.9,15.5,22.8,16.7-24.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",33.4,27.6,39.7,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",21.5,18.3,25.0,16.7-24.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.8,20.0,30.1,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",21.4,18.5,24.4,16.7-24.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",25.6,21.6,30.0,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.1,17.6,27.3,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.0,19.6,28.8,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",29.7,25.6,34.0,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.6,25.2,30.0,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",25.6,22.3,29.2,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.8,22.6,35.6,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",25.7,20.9,31.0,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",20.1,16.8,23.7,16.7-24.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.5,24.5,32.7,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.0,20.8,27.5,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",28.5,25.4,31.8,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",32.2,26.7,38.1,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.5,19.7,25.5,16.7-24.0,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",27.6,24.5,30.8,26.8-28.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",31.3,25.6,37.4,28.8-36.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.5,23.3,29.9,24.1-26.7,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",26.7,20.8,33.4,24.1-26.7,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",12.4,11.9,13.0,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",22.1,20.2,24.0,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",17.2,16.1,18.3,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.8,12.5,15.2,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",10.4,9.1,11.7,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",6.0,5.2,6.9,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",4.4,3.4,5.7,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",6.7,3.6,11.3,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",9.5,8.7,10.3,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",15.1,14.3,15.8,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",3.4,3.0,3.8,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",24.8,23.6,26.0,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.7,11.9,15.8,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",12.2,11.5,12.9,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",11.9,10.6,13.4,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",7.8,6.0,9.8,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",17.6,14.5,21.2,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.9,10.4,18.1,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",10.5,9.4,11.7,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",14.8,14.0,15.6,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",11.7,11.1,12.3,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.1,10.2,16.4,12.8-13.6,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",12.8,10.2,15.7,12.8-13.6,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",14.1,10.9,17.8,13.7-16.5,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",10.5,7.8,13.7,10.4-12.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",14.7,12.7,17.0,13.7-16.5,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",15.8,13.0,19.0,13.7-16.5,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",13.3,10.1,16.9,12.8-13.6,Medium
